ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	enrichID	Count	rich_factor	Gene_Ratio	fold_enrichment	Class_A	Class_B
map00480	Glutathione metabolism	29/1218	91/5827	0.0090200449256521	0.154199815633767	0.145134557450342	FBgn0001248/FBgn0033521/FBgn0013307/FBgn0010039/FBgn0063498/FBgn0063491/FBgn0001149/FBgn0063497/FBgn0033518/FBgn0063495/FBgn0034335/FBgn0040319/FBgn0033817/FBgn0034354/FBgn0051198/FBgn0033520/FBgn0052196/FBgn0063496/FBgn0063492/FBgn0058470/FBgn0010041/FBgn0011703/FBgn0052495/FBgn0042206/FBgn0086348/FBgn0030932/FBgn0038897/FBgn0035915/FBgn0285963	29	0.318681318681319	0.0238095238095238	1.52459445316588	Metabolism	Metabolism of other amino acids
map00500	Starch and sucrose metabolism	8/1218	24/5827	0.109152755449621	0.768349788361056	0.723179246632162	FBgn0000078/FBgn0000079/FBgn0003748/FBgn0266064/FBgn0034618/FBgn0031907/FBgn0265180/FBgn0265191	8	0.333333333333333	0.00656814449917898	1.59469074986316	Metabolism	Carbohydrate metabolism
map00510	N-Glycan biosynthesis	7/1218	44/5827	0.8427194733857	0.999999999076521	0.94121096526481	FBgn0053303/FBgn0032234/FBgn0039639/FBgn0027538/FBgn0029906/FBgn0011297/FBgn0263852	7	0.159090909090909	0.00574712643678161	0.761102403343783	Metabolism	Glycan biosynthesis and metabolism
map00520	Amino sugar and nucleotide sugar metabolism	9/1218	51/5827	0.767893189943894	0.999999999076521	0.94121096526481	FBgn0052220/FBgn0031717/FBgn0263199/FBgn0263200/FBgn0029801/FBgn0036298/FBgn0038045/FBgn0001311/FBgn0022700	9	0.176470588235294	0.00738916256157635	0.844248044045204	Metabolism	Carbohydrate metabolism
map00561	Glycerolipid metabolism	19/1218	81/5827	0.325451931875452	0.999999999076521	0.94121096526481	FBgn0039471/FBgn0039472/FBgn0259734/FBgn0037537/FBgn0036290/FBgn0027579/FBgn0261549/FBgn0033214/FBgn0085413/FBgn0033216/FBgn0016078/FBgn0037165/FBgn0004797/FBgn0036367/FBgn0029831/FBgn0041087/FBgn0038070/FBgn0030884/FBgn0031976	19	0.234567901234568	0.0155993431855501	1.12218978694074	Metabolism	Lipid metabolism
map00562	Inositol phosphate metabolism	13/1218	52/5827	0.280727956088932	0.999999999076521	0.94121096526481	FBgn0036262/FBgn0025885/FBgn0086355/FBgn0004611/FBgn0036560/FBgn0037063/FBgn0036550/FBgn0023508/FBgn0267350/FBgn0031636/FBgn0028497/FBgn0050295/FBgn0036273	13	0.25	0.0106732348111658	1.19601806239737	Metabolism	Carbohydrate metabolism
map00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	5/1218	32/5827	0.829351695250063	0.999999999076521	0.94121096526481	FBgn0023545/FBgn0035464/FBgn0036893/FBgn0031997/FBgn0266439	5	0.15625	0.00410509031198686	0.747511288998358	Metabolism	Glycan biosynthesis and metabolism
map00564	Glycerophospholipid metabolism	14/1218	77/5827	0.764031394643261	0.999999999076521	0.94121096526481	FBgn0259734/FBgn0034588/FBgn0027579/FBgn0261549/FBgn0085413/FBgn0016078/FBgn0037165/FBgn0031735/FBgn0031815/FBgn0041087/FBgn0286511/FBgn0040212/FBgn0033170/FBgn0263048	14	0.181818181818182	0.0114942528735632	0.86983131810718	Metabolism	Lipid metabolism
map00600	Sphingolipid metabolism	7/1218	39/5827	0.735466520973738	0.999999999076521	0.94121096526481	FBgn0260746/FBgn0038142/FBgn0016078/FBgn0037165/FBgn0037958/FBgn0041087/FBgn0001941	7	0.179487179487179	0.00574712643678161	0.858679634541703	Metabolism	Lipid metabolism
map00620	Pyruvate metabolism	11/1218	50/5827	0.479787203331206	0.999999999076521	0.94121096526481	FBgn0034356/FBgn0029969/FBgn0037537/FBgn0027580/FBgn0011768/FBgn0031143/FBgn0002719/FBgn0031774/FBgn0035203/FBgn0051673/FBgn0283450	11	0.22	0.0090311986863711	1.05249589490969	Metabolism	Carbohydrate metabolism
map00630	Glyoxylate and dicarboxylate metabolism	8/1218	39/5827	0.587358796827443	0.999999999076521	0.94121096526481	FBgn0029969/FBgn0035206/FBgn0024957/FBgn0031774/FBgn0037801/FBgn0035203/FBgn0030347/FBgn0051673	8	0.205128205128205	0.00656814449917898	0.981348153761947	Metabolism	Carbohydrate metabolism
map00640	Propanoate metabolism	4/1218	27/5827	0.846428754729707	0.999999999076521	0.94121096526481	FBgn0031813/FBgn0034629/FBgn0037999/FBgn0030612	4	0.148148148148148	0.00328407224958949	0.708751444383628	Metabolism	Carbohydrate metabolism
