ID	shape	color	size
GWHPBRAE005682	prot	up	-0.590721770009841
GWHPBRAE005778	prot	up	-1.11902410314227
GWHPBRAE005801	prot	up	-2.52832126339897
GWHPBRAE005883	prot	up	-0.518031492602169
GWHPBRAE005894	prot	up	-0.874993638932967
GWHPBRAE005895	prot	up	-0.854394677753101
GWHPBRAE005962	prot	down	0.504304837375931
GWHPBRAE005966	prot	down	0.659722595233746
GWHPBRAE005977	prot	up	-0.609754962172443
GWHPBRAE005988	prot	up	-0.462575888042204
GWHPBRAE006081	prot	up	-0.6959938131099
GWHPBRAE006098	prot	down	0.722610301189136
GWHPBRAE006110	prot	down	0.744197163397282
GWHPBRAE006115	prot	down	0.603840510926845
GWHPBRAE006188	prot	up	-1.14730669878029
GWHPBRAE006194	prot	up	-0.738983954700512
GWHPBRAE006210	prot	up	-0.632268215499513
GWHPBRAE006211	prot	up	-0.526068811667588
GWHPBRAE006220	prot	up	-0.396159489073155
GWHPBRAE006239	prot	up	-1.12167855658825
GWHPBRAE006247	prot	up	-0.855192407959154
GWHPBRAE006284	prot	up	-0.813935070481317
GWHPBRAE006377	prot	up	-0.417920007811965
GWHPBRAE006412	prot	up	-0.608809242675524
GWHPBRAE006469	prot	down	0.664288089679538
Aarg01G010040	tran	down	-4.38868305406646
Aarg01G010690	tran	down	-2.90686408307532
Aarg01G018650	tran	down	-2.5125650148724
Aarg01G019240	tran	down	-8.3293733910068
Aarg01G027690	tran	down	-5.12001796703309
Aarg01G027700	tran	down	-5.9405624336683
Aarg01G027710	tran	down	-4.72801108829953
Aarg01G029910	tran	down	-3.77689156143773
Aarg01G030390	tran	down	-9.45759429475265
Aarg01G031360	tran	down	-2.37005385418675
Aarg01G035770	tran	down	-3.16526899817976
Aarg02G013930	tran	down	-5.80208686870319
Aarg02G014660	tran	down	-6.07952581343479
Aarg02G019410	tran	down	-4.12999779453929
Aarg02G021130	tran	down	-5.6014127198435
Aarg02G022370	tran	down	-7.80006767303287
Aarg03G008940	tran	down	-3.60004807711953
Aarg03G009110	tran	down	-3.50933161200759
Aarg03G023630	tran	down	-3.51455416768934
Aarg04G009120	tran	down	-3.94152648979216
Aarg04G010360	tran	down	-5.24475194242908
Aarg04G017050	tran	down	-2.71851746801242
Aarg04G017060	tran	down	-2.9140640911652
Aarg04G017690	tran	down	-3.7170058413155
Aarg04G018680	tran	down	-3.02584587789936
Aarg04G020000	tran	down	-4.17579561739914
Aarg04G020160	tran	down	-6.09066174895298
Aarg04G020510	tran	down	-4.08513796300561
Aarg04G020580	tran	down	-4.88695421263069
Aarg04G021170	tran	down	-4.58872523904134
Aarg04G024810	tran	down	-2.60815641436624
Aarg04G026440	tran	down	-5.16863364382296
Aarg05G000370	tran	down	-4.97422674464861
Aarg05G003760	tran	down	-3.98297903365775
Aarg05G004580	tran	down	-7.25320967874127
Aarg05G004600	tran	down	-8.13245050863364
Aarg05G021260	tran	down	-4.34009865978805
Aarg05G022170	tran	down	-3.98116945198047
Aarg05G026540	tran	down	-4.23737181427212
Aarg05G028130	tran	down	-4.61717897896079
Aarg05G028140	tran	down	-4.49399208792419
Aarg05G028420	tran	down	-2.75490383762318
Aarg06G014550	tran	down	-8.478721395287
Aarg06G018260	tran	down	-2.77696096457008
Aarg06G018930	tran	up	6.86662480950745
Aarg06G021230	tran	down	-4.66920107369356
Aarg06G028680	tran	down	-3.58478407154009
Aarg07G000200	tran	down	-5.14958619604904
Aarg07G004790	tran	down	-2.85518849758524
Aarg07G006500	tran	down	-4.5762952759454
Aarg07G006740	tran	down	-6.29173094014171
Aarg07G010250	tran	down	-2.50565833311389
Aarg07G011070	tran	down	-5.39394975182556
Aarg07G011130	tran	down	-4.13595237155601
Aarg07G016180	tran	down	-6.77920128367784
Aarg07G019070	tran	down	-4.47927582352629
Aarg07G020630	tran	down	-3.99321872801247
Aarg07G022640	tran	down	-3.04699142574992
Aarg07G022840	tran	up	3.52817999859991
Aarg07G025350	tran	down	-5.59629413707207
Aarg07G027700	tran	down	-2.53534324496773
Aarg07G029570	tran	down	-3.33132396070226
Aarg07G036520	tran	down	-2.69551184091941
Aarg08G000060	tran	down	-2.56805206669772
Aarg08G004330	tran	down	-6.33236500977032
Aarg08G012990	tran	down	-2.78496441263239
Aarg08G023290	tran	down	-3.52820655205724
Aarg08G027220	tran	down	-3.43634893767366
Aarg09G002840	tran	down	-3.38802644256159
Aarg09G012030	tran	down	-2.20408364627793
Aarg09G012090	tran	down	-3.15356566304827
Aarg09G013330	tran	down	-4.10179580997994
Aarg09G018240	tran	down	-2.50117389691167
Aarg09G020370	tran	down	-3.3886339716583
Aarg09G020510	tran	down	-6.20638119675881
Aarg09G023150	tran	down	-3.98614389976372
Aarg09G028110	tran	down	-3.68090843277609
Aarg09G029520	tran	down	-2.7050873046315
Aarg09G031520	tran	down	-2.33634363050674
Aarg09G031800	tran	down	-3.24676104286843
Aarg09G040790	tran	down	-4.1896250484664
Aarg0G013030	tran	down	-3.4049005873221
Aarg0G024940	tran	down	-9.90066356396457
Aarg0G033930	tran	down	-2.44418784345325
Aarg10G002610	tran	down	-3.14660365664488
Aarg10G007880	tran	down	-2.86895758355897
Aarg10G018920	tran	down	-3.40092381416044
Aarg10G021200	tran	down	-6.00011300624934
Aarg10G027300	tran	down	-4.71852989338418
Aarg10G027360	tran	down	-5.04061228695357
Aarg10G030170	tran	down	-4.51081483056995
Aarg10G030940	tran	down	-4.07528639585624
Aarg10G042440	tran	down	-2.24353717382864
Aarg10G044540	tran	down	-8.96153244128912
Aarg10G047270	tran	down	-4.57416384615202
Aarg10G048540	tran	down	-6.63474118509295
Aarg10G049230	tran	down	-6.00934980163303
Aarg10G054570	tran	down	-5.41835112259849
Aarg10G056450	tran	down	-3.57535842977674
Aarg10G061820	tran	down	-6.69479025495048
Aarg11G002910	tran	down	-4.58942045529462
Aarg11G004080	tran	down	-5.0554432458406
Aarg11G011040	tran	down	-3.10338034964242
Aarg11G011720	tran	down	-3.70613441615856
Aarg11G013400	tran	down	-3.82952918794041
Aarg11G016910	tran	down	-3.08298690231482
Aarg11G021620	tran	down	-3.81581712714508
Aarg11G023850	tran	down	-5.72198198353652
Aarg11G030950	tran	down	-4.2258969701702
Aarg12G009210	tran	down	-5.06623226625819
Aarg12G009720	tran	down	-3.44022802173497
Aarg12G014050	tran	down	-2.628005791943
Aarg12G018880	tran	down	-4.50762041536425
Aarg12G019490	tran	down	-4.40277672504114
Aarg12G025740	tran	down	-5.26550007530144
Aarg12G026360	tran	down	-2.45264597314191
Aarg13G001060	tran	down	-5.35213875886628
Aarg13G002030	tran	down	-2.55208202571686
Aarg13G002160	tran	down	-2.84661323151301
Aarg13G008940	tran	down	-7.38779355275104
Aarg13G009490	tran	down	-2.61123229848444
Aarg13G009610	tran	down	-2.62018427557191
