source	target	Class_A_source	Class_B_source	Class_A_target	Class_B_target
map00020	map00470	Metabolism	Metabolism of other amino acids	Metabolism	Carbohydrate metabolism
map00020	map00280	Metabolism	Amino acid metabolism	Metabolism	Carbohydrate metabolism
map00020	map00071	Metabolism	Lipid metabolism	Metabolism	Carbohydrate metabolism
map00020	map00220	Metabolism	Amino acid metabolism	Metabolism	Carbohydrate metabolism
map00020	map00260	Metabolism	Amino acid metabolism	Metabolism	Carbohydrate metabolism
map00020	map00300	Metabolism	Amino acid metabolism	Metabolism	Carbohydrate metabolism
map00020	map00650	Metabolism	Carbohydrate metabolism	Metabolism	Carbohydrate metabolism
map00020	map00061	Metabolism	Lipid metabolism	Metabolism	Carbohydrate metabolism
map00020	map00310	Metabolism	Amino acid metabolism	Metabolism	Carbohydrate metabolism
map00020	map00630	Metabolism	Carbohydrate metabolism	Metabolism	Carbohydrate metabolism
map00020	map00620	Metabolism	Carbohydrate metabolism	Metabolism	Carbohydrate metabolism
map00020	map00053	Metabolism	Carbohydrate metabolism	Metabolism	Carbohydrate metabolism
map00020	map00360	Metabolism	Amino acid metabolism	Metabolism	Carbohydrate metabolism
map00020	map00640	Metabolism	Carbohydrate metabolism	Metabolism	Carbohydrate metabolism
map00020	map00330	Metabolism	Amino acid metabolism	Metabolism	Carbohydrate metabolism
map00020	map00760	Metabolism	Metabolism of cofactors and vitamins	Metabolism	Carbohydrate metabolism
map00020	map00040	Metabolism	Carbohydrate metabolism	Metabolism	Carbohydrate metabolism
map00020	map00062	Metabolism	Lipid metabolism	Metabolism	Carbohydrate metabolism
map00030	map00052	Metabolism	Carbohydrate metabolism	Metabolism	Carbohydrate metabolism
map00030	map00230	Metabolism	Nucleotide metabolism	Metabolism	Carbohydrate metabolism
map00030	map00400	Metabolism	Amino acid metabolism	Metabolism	Carbohydrate metabolism
map00030	map00040	Metabolism	Carbohydrate metabolism	Metabolism	Carbohydrate metabolism
map00030	map00740	Metabolism	Metabolism of cofactors and vitamins	Metabolism	Carbohydrate metabolism
map00030	map00010	Metabolism	Carbohydrate metabolism	Metabolism	Carbohydrate metabolism
map00030	map00630	Metabolism	Carbohydrate metabolism	Metabolism	Carbohydrate metabolism
map00030	map00240	Metabolism	Nucleotide metabolism	Metabolism	Carbohydrate metabolism
map00040	map00053	Metabolism	Carbohydrate metabolism	Metabolism	Carbohydrate metabolism
map00040	map00030	Metabolism	Carbohydrate metabolism	Metabolism	Carbohydrate metabolism
map00040	map00520	Metabolism	Carbohydrate metabolism	Metabolism	Carbohydrate metabolism
map00040	map00562	Metabolism	Carbohydrate metabolism	Metabolism	Carbohydrate metabolism
map00040	map00500	Metabolism	Carbohydrate metabolism	Metabolism	Carbohydrate metabolism
map00040	map00052	Metabolism	Carbohydrate metabolism	Metabolism	Carbohydrate metabolism
map00051	map00620	Metabolism	Carbohydrate metabolism	Metabolism	Carbohydrate metabolism
map00051	map00510	Metabolism	Glycan biosynthesis and metabolism	Metabolism	Carbohydrate metabolism
map00051	map00053	Metabolism	Carbohydrate metabolism	Metabolism	Carbohydrate metabolism
map00051	map00052	Metabolism	Carbohydrate metabolism	Metabolism	Carbohydrate metabolism
map00051	map00520	Metabolism	Carbohydrate metabolism	Metabolism	Carbohydrate metabolism
map00051	map00010	Metabolism	Carbohydrate metabolism	Metabolism	Carbohydrate metabolism
map00052	map00520	Metabolism	Carbohydrate metabolism	Metabolism	Carbohydrate metabolism
map00052	map00030	Metabolism	Carbohydrate metabolism	Metabolism	Carbohydrate metabolism
map00052	map00040	Metabolism	Carbohydrate metabolism	Metabolism	Carbohydrate metabolism
map00053	map00520	Metabolism	Carbohydrate metabolism	Metabolism	Carbohydrate metabolism
map00053	map00040	Metabolism	Carbohydrate metabolism	Metabolism	Carbohydrate metabolism
map00053	map00630	Metabolism	Carbohydrate metabolism	Metabolism	Carbohydrate metabolism
map00053	map00020	Metabolism	Carbohydrate metabolism	Metabolism	Carbohydrate metabolism
map00053	map00051	Metabolism	Carbohydrate metabolism	Metabolism	Carbohydrate metabolism
map00061	map00780	Metabolism	Metabolism of cofactors and vitamins	Metabolism	Lipid metabolism
map00061	map00071	Metabolism	Lipid metabolism	Metabolism	Lipid metabolism
map00061	map00020	Metabolism	Carbohydrate metabolism	Metabolism	Lipid metabolism
map00061	map00561	Metabolism	Lipid metabolism	Metabolism	Lipid metabolism
map00061	map00410	Metabolism	Metabolism of other amino acids	Metabolism	Lipid metabolism
map00061	map00062	Metabolism	Lipid metabolism	Metabolism	Lipid metabolism
map00061	map00564	Metabolism	Lipid metabolism	Metabolism	Lipid metabolism
map00061	map00620	Metabolism	Carbohydrate metabolism	Metabolism	Lipid metabolism
map00062	map00020	Metabolism	Carbohydrate metabolism	Metabolism	Lipid metabolism
map00062	map00071	Metabolism	Lipid metabolism	Metabolism	Lipid metabolism
map00071	map00062	Metabolism	Lipid metabolism	Metabolism	Lipid metabolism
map00071	map00650	Metabolism	Carbohydrate metabolism	Metabolism	Lipid metabolism
map00071	map00020	Metabolism	Carbohydrate metabolism	Metabolism	Lipid metabolism
map00071	map00561	Metabolism	Lipid metabolism	Metabolism	Lipid metabolism
map00071	map00061	Metabolism	Lipid metabolism	Metabolism	Lipid metabolism
map00071	map00630	Metabolism	Carbohydrate metabolism	Metabolism	Lipid metabolism
map00100	map00900	Metabolism	Metabolism of terpenoids and polyketides	Metabolism	Lipid metabolism
map00130	map00900	Metabolism	Metabolism of terpenoids and polyketides	Metabolism	Metabolism of cofactors and vitamins
map00130	map00400	Metabolism	Amino acid metabolism	Metabolism	Metabolism of cofactors and vitamins
map00220	map00470	Metabolism	Metabolism of other amino acids	Metabolism	Amino acid metabolism
map00220	map00230	Metabolism	Nucleotide metabolism	Metabolism	Amino acid metabolism
map00220	map00910	Metabolism	Energy metabolism	Metabolism	Amino acid metabolism
map00220	map00250	Metabolism	Amino acid metabolism	Metabolism	Amino acid metabolism
map00220	map00240	Metabolism	Nucleotide metabolism	Metabolism	Amino acid metabolism
map00220	map00020	Metabolism	Carbohydrate metabolism	Metabolism	Amino acid metabolism
map00220	map00330	Metabolism	Amino acid metabolism	Metabolism	Amino acid metabolism
map00230	map00250	Metabolism	Amino acid metabolism	Metabolism	Nucleotide metabolism
map00230	map00030	Metabolism	Carbohydrate metabolism	Metabolism	Nucleotide metabolism
map00230	map00860	Metabolism	Metabolism of cofactors and vitamins	Metabolism	Nucleotide metabolism
map00230	map00740	Metabolism	Metabolism of cofactors and vitamins	Metabolism	Nucleotide metabolism
map00230	map00260	Metabolism	Amino acid metabolism	Metabolism	Nucleotide metabolism
map00230	map00790	Metabolism	Metabolism of cofactors and vitamins	Metabolism	Nucleotide metabolism
map00230	map00630	Metabolism	Carbohydrate metabolism	Metabolism	Nucleotide metabolism
map00240	map00410	Metabolism	Metabolism of other amino acids	Metabolism	Nucleotide metabolism
map00240	map00030	Metabolism	Carbohydrate metabolism	Metabolism	Nucleotide metabolism
map00240	map00280	Metabolism	Amino acid metabolism	Metabolism	Nucleotide metabolism
map00240	map00220	Metabolism	Amino acid metabolism	Metabolism	Nucleotide metabolism
map00240	map00250	Metabolism	Amino acid metabolism	Metabolism	Nucleotide metabolism
map00250	map00020	Metabolism	Carbohydrate metabolism	Metabolism	Amino acid metabolism
map00250	map00770	Metabolism	Metabolism of cofactors and vitamins	Metabolism	Amino acid metabolism
map00250	map00410	Metabolism	Metabolism of other amino acids	Metabolism	Amino acid metabolism
map00250	map00760	Metabolism	Metabolism of cofactors and vitamins	Metabolism	Amino acid metabolism
map00250	map00630	Metabolism	Carbohydrate metabolism	Metabolism	Amino acid metabolism
map00250	map00260	Metabolism	Amino acid metabolism	Metabolism	Amino acid metabolism
map00250	map00650	Metabolism	Carbohydrate metabolism	Metabolism	Amino acid metabolism
map00250	map00470	Metabolism	Metabolism of other amino acids	Metabolism	Amino acid metabolism
map00250	map00620	Metabolism	Carbohydrate metabolism	Metabolism	Amino acid metabolism
map00250	map00300	Metabolism	Amino acid metabolism	Metabolism	Amino acid metabolism
map00250	map00010	Metabolism	Carbohydrate metabolism	Metabolism	Amino acid metabolism
map00250	map00970	Genetic Information Processing	Translation	Metabolism	Amino acid metabolism
map00250	map00240	Metabolism	Nucleotide metabolism	Metabolism	Amino acid metabolism
map00250	map00910	Metabolism	Energy metabolism	Metabolism	Amino acid metabolism
map00250	map00330	Metabolism	Amino acid metabolism	Metabolism	Amino acid metabolism
map00250	map00860	Metabolism	Metabolism of cofactors and vitamins	Metabolism	Amino acid metabolism
map00250	map00230	Metabolism	Nucleotide metabolism	Metabolism	Amino acid metabolism
map00250	map00480	Metabolism	Metabolism of other amino acids	Metabolism	Amino acid metabolism
map00250	map00220	Metabolism	Amino acid metabolism	Metabolism	Amino acid metabolism
map00260	map00860	Metabolism	Metabolism of cofactors and vitamins	Metabolism	Amino acid metabolism
map00260	map00010	Metabolism	Carbohydrate metabolism	Metabolism	Amino acid metabolism
map00260	map00250	Metabolism	Amino acid metabolism	Metabolism	Amino acid metabolism
map00260	map00564	Metabolism	Lipid metabolism	Metabolism	Amino acid metabolism
map00260	map00300	Metabolism	Amino acid metabolism	Metabolism	Amino acid metabolism
map00260	map00920	Metabolism	Energy metabolism	Metabolism	Amino acid metabolism
map00260	map00270	Metabolism	Amino acid metabolism	Metabolism	Amino acid metabolism
map00260	map00630	Metabolism	Carbohydrate metabolism	Metabolism	Amino acid metabolism
map00260	map00470	Metabolism	Metabolism of other amino acids	Metabolism	Amino acid metabolism
map00260	map00620	Metabolism	Carbohydrate metabolism	Metabolism	Amino acid metabolism
map00260	map00290	Metabolism	Amino acid metabolism	Metabolism	Amino acid metabolism
map00260	map00330	Metabolism	Amino acid metabolism	Metabolism	Amino acid metabolism
