Index	A1	A2	A3	A4	B1	B2	B3	B4	C1	C2	C3	C4
MEDP631	308000	475000	401000	494000	958000	947000	926000	1030000	433000	471000	510000	616000
MEDP632	495000	353000	447000	399000	396000	400000	410000	396000	408000	397000	386000	316000
MEDP636	138000	155000	149000	161000	272000	258000	232000	256000	256000	257000	258000	233000
MEDP637	49800	53400	57900	66000	88900	84000	74300	80000	62700	81300	99900	90600
MEDP638	8990	13400	10700	12400	18400	20900	26000	19300	94800	81100	67500	93200
MEDP651	189000	154000	162000	134000	146000	137000	119000	145000	171000	167000	164000	164000
MEDP653	22100	23300	21200	20200	13100	13700	15000	11600	11100	13200	15200	10400
MEDP656	8390000	9590000	7300000	6200000	6400000	6130000	5590000	6920000	5440000	5510000	5570000	5650000
MEDP657	8920000	9380000	7660000	6400000	5190000	5370000	5730000	4030000	5410000	5010000	4600000	5730000
MEDP658	655000	634000	639000	623000	639000	668000	727000	639000	682000	645000	608000	672000
MEDP659	466000	365000	423000	379000	275000	286000	309000	267000	277000	258000	238000	266000
MEDP662	816000	867000	867000	918000	862000	857000	849000	901000	911000	898000	884000	899000
MEDP668	697000	629000	643000	589000	747000	685000	562000	870000	514000	764000	1010000	1120000
MEDP669	21700	27600	21900	22200	20900	23400	28400	19000	15000	15200	15400	19000
MEDP671	3710000	3180000	3470000	3230000	3130000	3170000	3230000	3260000	2890000	3000000	3120000	3200000
MEDP673	16300000	16500000	15500000	14700000	14000000	13500000	12600000	14500000	14500000	14300000	14200000	13200000
MEDP674	613000	599000	583000	553000	390000	398000	414000	348000	303000	396000	489000	425000
MEDP675	565000	472000	560000	555000	440000	491000	594000	494000	399000	383000	368000	401000
MEDP676	1520000	1330000	1220000	927000	945000	894000	790000	1080000	753000	853000	954000	997000
MEDP677	265000	192000	208000	150000	184000	184000	183000	181000	263000	216000	168000	200000
MEDP681	27700000	29800000	25800000	23900000	18500000	19400000	21100000	19000000	18300000	18600000	18900000	18400000
MEDP685	2540000	3180000	3030000	3520000	5770000	5710000	5580000	5590000	6060000	6370000	6680000	6700000
MEDP686	36000000	33100000	32400000	28800000	24400000	24300000	24200000	24400000	24100000	24000000	23900000	23900000
MEDP688	19600	21300	19600	19600	32000	31200	29400	35400	20700	17900	15000	18500
MEDP692	6240000	4560000	6050000	5860000	3840000	4140000	4750000	3930000	5980000	5620000	5250000	3410000
MEDP695	164000	190000	184000	204000	179000	175000	168000	170000	137000	156000	174000	169000
MEDP697	212000	189000	193000	175000	221000	237000	270000	241000	194000	195000	196000	248000
MEDP700	1560000	1220000	1380000	1210000	1360000	1270000	1090000	1200000	1770000	1410000	1060000	1200000
MEDP707	288000	292000	294000	300000	311000	307000	297000	290000	259000	257000	254000	243000
MEDP709	551000	550000	543000	534000	540000	533000	518000	488000	490000	489000	488000	449000
MEDP710	426000	510000	460000	495000	548000	527000	485000	505000	493000	497000	501000	500000
MEDP716	120000	118000	104000	86700	83700	82900	81100	82000	79500	79100	78800	62000
MEDP719	210000	254000	217000	225000	212000	199000	174000	242000	265000	241000	217000	195000
MEDP724	229000	221000	220000	210000	213000	213000	212000	216000	209000	229000	248000	224000
MEDP726	4260000	4330000	4400000	4540000	3860000	3690000	3360000	4130000	3630000	4090000	4540000	3820000
MEDP732	4170000	4060000	4140000	4110000	3610000	3610000	3600000	3630000	3740000	3620000	3490000	3660000
