ID	A1	A2	A3	A4	B1	B2	B3	B4
ID222079	1	9	4.93	3.78	0	108.37	1267.29	4
ID222080	4	2.03	8.97	0	19.94	209.98	1	348.63
ID222081	14	51	6	10	140	59	142	62.32
ID222082	0	1	0	1	88.57	6	205.18	0
ID222083	305	254	157	235	105	30	105	54
ID222084	2	49.2	20.14	32.06	0	0	0	0
ID222085	47.04	17.01	4.12	2.54	23.32	625.63	736.23	35.91
ID222086	632.66	432.37	130.95	554.03	558.87	1535.6	3474.97	1932.4
ID222087	16.47	8.6	2.91	14.22	38.94	187.57	87.35	19.5
ID222088	637	1144	1195	780	3223	1022	2026	1401
ID222089	35	562	299	709	58	25	63	11
ID222090	266	419	169	421	103	53	154	84
ID222091	706	520	797	1124	293	86	387	122
ID222092	24	16	13	2	123.96	55	255	27
ID222093	66	49.42	52.69	49.03	136	73.87	101.39	117.89
ID222094	128	108	82	72.7	1.44	4.86	26.02	3.26
ID222095	6.74	1	76.8	83.89	0	0	0	0
ID222096	150	40	2	12	1.39	0	1	0
ID222097	171	162	126	193	78	50	85	59
ID222098	2.84	6.91	0	0	58.34	23.6	35.6	17.3
ID222099	156	131	0	13	0	0	0	0
ID222100	651.38	467.55	560.15	620.73	1171.55	617.7	2066.98	757.81
ID222101	1274.8	1961.33	1079.52	1561.13	2619.32	1414.2	2252.63	1493.51
ID222102	907	1617	1966	1896	777.15	382	778	491.11
ID222103	337	679	1106	565	3125	1033	1450	1818
ID222104	1735.19	1540.76	2500.18	3355.57	768	612.41	598.7	741.18
ID222105	85.01	25.88	17.81	137.04	8.05	0	1	0
ID222106	28.42	77.31	1	21.88	0	0	0	0
ID222107	571.23	567.68	618.17	858.56	1457.54	611.05	1037.88	752.53
ID222108	122.85	165.62	195.61	198.88	731.16	230.51	536.3	170.12
ID222109	278.32	228.44	259.38	302.96	621.91	251.7	444.69	526.05
ID222110	472	201	414	753.94	121	23	106	109
ID222111	84.52	125.79	105.19	103.97	298.69	94.3	352.71	136.27
ID222112	58.81	176.47	100.95	118.88	31.74	7.39	18.92	30.46
ID222113	367.96	833.38	584.14	595.9	1205.34	595.29	1123.16	754.63
ID222114	353	317	338	235	624	490	915	355
ID222115	0	0	0	0	37.91	26.77	78.36	0
ID222116	15	5	7	4	50	7	231	58
ID222117	3.62	4	4.92	1	102.6	18.58	1.22	160.51
ID222118	104	208	141	169	329	240	373	155
ID222119	12.24	648.86	43.04	723.06	26.65	5.07	0	2.51
ID222120	48.74	0	67.34	101.29	0	0	0	0
ID222121	340.8	472.74	312.79	591.44	799.52	777.28	1088.33	436.82
ID222122	159.98	179.69	204.7	84.3	426.66	515.52	342.5	331.27
ID222123	1.83	10.03	65.54	60.54	0	0	0.56	0
ID222124	221.79	56.59	87.76	100.31	348.94	235	575.68	339.19
ID222125	23.1	71.24	35.18	71.04	201.49	188.93	99.44	95.15
ID222126	72.5	69.67	33.97	73.07	107	103	166.08	134
ID222127	5	54	288	61	3	5	8	3
ID222128	10	17	7	24	0	0	0	0
ID222129	523.95	2478.41	1691.62	231.35	193.21	114.85	217.72	155.61
ID222130	39.79	40.2	273.1	228.55	2.5	3.52	26.09	8.56
ID222131	244.64	620.54	640.09	37.05	58.86	28.13	14.31	38.5
ID222132	1	21	15.03	0	83.92	102.98	207.06	62.37
ID222133	111	264	216	234	85	27	86	24
ID222134	44	104	63	76	147	105	215	90
ID222135	41	37	32	63	14	7	8	8
ID222136	2	2	4	1	6	18.87	169.86	7
ID222137	83	112	110	185	49	12	40	34
ID222138	4	15.58	66.93	54.42	2	0.97	1	0
ID222139	740	216	139	336	68	57	52	60
ID222140	3872.09	3350.32	2277.79	3511.89	4481.3	5728.33	10415.32	4690.34
ID222141	50.17	0	53.49	107.49	0	0	0	0
ID222142	280.6	311.5	469.58	402.05	602.03	581.69	858.05	499.15
ID222143	148.61	323.89	181.31	224.01	485.76	263.42	337.43	331.62
ID222144	444.99	138.34	37.85	456.8	49.3	25	10.88	17.78
ID222145	12.95	18.78	6.29	17.46	0	0	0	0
ID222146	466.69	551.04	561.15	449.37	1000.67	543.23	903.02	490.98
ID222147	2.24	0	4.24	0	6.51	47.66	22	50.5
ID222148	175.69	215.68	161.25	245.75	107.48	71.75	93.18	77.84
ID222149	270	880	506	300	2433	663	1317	904
ID222150	5	3	3	1	2	33	210	16
ID222151	2	187	141	1	0	1	0	1
ID222152	6689.57	786.1	3838.19	6317.65	1012.69	118.71	896.89	107.48
ID222153	193.45	133.04	249.45	176.48	708.92	210.23	411.41	343.99
ID222154	49.97	63.37	28.67	56.99	5.19	9.54	14.27	5.01
ID222155	286.51	82.94	143.44	81.36	176.95	587.96	1211.61	976.81
ID222156	175.54	28.58	5.88	40.92	2	0	5	0
ID222157	96	93	9	5	0	1	2	2
ID222158	1	2	470	229	1	0	0	4
ID222159	0	74.2	53	77	0	0	0	1
ID222160	161	253	223	1148	43	49	67	75
ID222161	0	0	1	0	0	23.52	105.13	21.18
ID222162	45.31	271.33	45.87	1396.38	14.25	9.02	59.6	13
ID222163	133.68	238.88	102.44	263.7	71.78	49.11	49.03	33.98
ID222164	2	5	2	2	6	1	87	145.09
ID222165	8538	9277	3798	4992	14268	8331	15574	13148
ID222166	28.62	0	132.27	88.71	1	1	0	0
ID222167	2.38	3.78	2.1	1.93	211.89	10.3	93.15	0
ID222168	813	1157	1114	979	610	379	631	417
ID222169	0	0	0	0	88.99	8.45	0	59.34
ID222170	262	336	207	295	398	242	441	312
ID222171	113	80	11	158	14	0	7	4
ID222172	175.7	14.84	8.29	25.52	57.7	1886.87	2399.16	81.3
ID222173	424.11	351.28	310.61	443.01	583.07	346.74	784.38	490.6
ID222174	1	1	3	8	4.79	77	155	6.08
ID222175	201	238	204	310	109	43	146	75
ID222176	27.4	21.33	19.98	26.25	63.51	89.75	209.31	24.97
ID222177	76	110	49	84	27	9	35	17
ID222178	185.8	207.29	212.45	169.17	288.56	198.97	431.39	313.07
ID222179	4	11	15	48	0	0	0	0
ID222180	320	716	31	154	43	2	19	28
ID222181	14	38.55	24.76	25	236	21	420	40
ID222182	219	212	202	150	385	231	321	297
ID222183	22	15	28	29	105	89	1216	6
ID222184	234	177	148	325	43	53	52	70
ID222185	75.51	152.81	100.83	124.17	273.71	149.42	228.12	114.56
ID222186	1	195	261	1	0	2	1	0
ID222187	161.97	21.07	31.92	134	18.4	1	3	2
ID222188	111	94	66	119	222	136	521	126
ID222189	9	5	4	3	31	25	42	10
ID222190	22	50	51	126	10	5	16	5
ID222191	140	92	131	70	422	156	245	187
ID222192	844.02	938.46	651.65	952.97	471.9	265.94	613.82	312.63
ID222193	2	0	0	3	12.54	37.04	11.37	18.38
ID222194	728.11	1240.26	1259.85	1583.07	585.72	247.37	184.65	321.54
ID222195	586.84	683.03	477.33	580.15	358.97	229.39	311.77	185.06
ID222196	4	61	71	84	4	5	3	1
ID222197	0	0	0	0	1	11	32	17
ID222198	657	1569	1095	2111	561	302	188	267
ID222199	304.56	400.01	265.3	370.65	614.54	275.13	555.08	316.99
ID222200	2626.65	1551.53	2170.66	1402.86	563.34	448.65	450.08	696.99
