ID	CT1-1	CT1-2	CT1-3	CT2-1	CT2-2	CT2-3	CT3-1	CT3-2	CT3-3	CT4-1	CT4-2	CT4-3
EdulChr65G00222390	0.18	0.07	0.15	0.08	0	0.1	1.24	1.19	1.44	0.07	0.06	0.04
EdulChr48G00176690	6.87	6.87	6.15	25.93	28.73	28.96	19.88	18.44	20.15	18.53	20.24	18.99
EdulChr24G00096450	3.89	4.48	5.09	4.75	4.36	4.46	2.15	2.16	2.21	5.69	5.87	5.93
EdulChr11G00048400	1.99	2.35	2.55	3.3	2.44	3.7	5.66	5.46	4.46	3.73	3.22	3.27
EdulChr104G00321580	12.43	14.01	12.16	65.09	70.03	69.93	72.39	72.5	73.1	44.89	44.16	47.27
novel36	2.92	2.74	2.7	1.47	1.66	1.7	4.6	4.27	4.18	1.72	1.52	1.58
EdulChr30G00120700	0.89	1.65	2.14	0.14	0.15	0.14	0.33	0.4	0.48	0.3	0	0.3
EdulChr71G00240640	15.75	16.78	15.4	24.1	25.73	25.01	30.68	28.15	31.83	21.75	23.34	24.16
EdulChr20G00081240	47.27	43.99	42.7	21.68	19.92	21.68	17.69	16.86	18.21	15.02	15.25	13.99
EdulChr58G00205560	0.74	0.7	0.64	0.57	0.7	0.59	0.57	1.01	0.66	0.57	0.43	0.45
EdulChr68G00230810	0	0	0	0	0	0	0	0.13	0	0	0	0
EdulChr46G00171030	3.68	4.28	3.97	0.05	0	0.08	0.6	0.66	0.52	0.42	0.51	0.86
EdulChr26G00106920	16.55	17.34	17.15	16.81	15.54	16.48	10.86	10.93	10.49	12	13.5	12.5
EdulChr76G00255260	4.91	5.86	5.77	3.59	3.26	3.66	6.74	7.05	6.32	5.34	5.04	5.64
EdulChr36G00141400	7.27	7.02	7.44	3.2	3.26	3.16	3.8	4.17	4.75	2.43	2.67	3.01
EdulChr68G00230960	7.72	10.75	7.6	12.58	7.33	5.46	9.93	9.73	7.65	6.22	5.95	8.4
EdulChr30G00121800	1.31	1.2	1.36	3.99	4.13	4.13	3.24	2.81	3.6	1.51	1.85	1.85
EdulChr90G00290150	15.75	16.27	16.42	11.77	6.96	7.85	4.22	4.27	3.17	12.07	5.82	10.88
EdulChr51G00187590	3.31	3.67	3.31	1.54	1.65	1.38	4.66	4.89	4.62	2.23	2.39	2.13
EdulChr7G00033660	0.7	0.82	0.48	1.29	1.05	1.07	0.48	0.91	0.58	0.68	0.86	0.6
novel3463	4.45	4.71	4.07	2.24	2.42	1.58	2.22	2.07	2.09	1.91	1.48	1.47
novel2322	120.34	99.5	106.76	148.59	124.45	157.29	271.33	262.25	266.6	99.48	110.72	103.7
EdulChr67G00228900	0	0.07	0	0	0	0	0	0	0	0	0	0
